Tipo NI;CNPJ;Período de Apuração;Data de Transmissão;Hora Transmissão;Categoria;Origem;Tipo;Situação;Débito Apurado;Saldo a Pagar
CNPJ;5,59554E+12;01/06/2025;31/07/2025;14:19:28;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 199.278,42;R$ 199.278,42
CNPJ;5,59554E+12;01/05/2025;24/06/2025;14:09:44;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 46.982,48;R$ 46.982,48
CNPJ;7,45296E+12;01/07/2025;01/08/2025;16:55:50;Geral;eSocial, REINF RET;Retificadora;Ativa;R$ 166,98;R$ 166,98
CNPJ;7,45296E+12;01/05/2025;21/05/2025;16:27:12;Geral;eSocial;Original;Ativa;R$ 166,98;R$ 166,98
CNPJ;7,05792E+12;01/09/2025;;;Geral;"eSocial, REINF CP, REINF
RET, MIT";Original;Em andamento;R$ 56.471,98;R$ 56.081,98
CNPJ;7,05792E+12;01/08/2025;02/10/2025;10:37:48;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 52.518,63;R$ 52.128,63
CNPJ;7,05792E+12;01/07/2025;26/08/2025;09:01:02;Geral;"eSocial, REINF CP, REINF
RET, MIT";Original;Ativa;R$ 62.802,33;R$ 62.412,33
CNPJ;7,05792E+12;01/06/2025;23/07/2025;15:14:37;Geral;"eSocial, REINF CP, REINF
RET, MIT";Original;Ativa;R$ 56.492,72;R$ 29.002,28
CNPJ;7,05792E+12;mai/25;01/07/2025;16:41:46;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 54.950,45;R$ 54.560,45
CNPJ;5,80535E+12;01/08/2025;15/09/2025;15:42:54;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 1.012.123,74;R$ 1.004.095,84
CNPJ;5,80535E+12;01/07/2025;25/08/2025;15:35:54;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 658.185,16;R$ 652.139,89
CNPJ;5,80535E+12;01/06/2025;11/09/2025;16:34:08;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 1.241.382,61;R$ 1.241.317,61
CNPJ;5,80535E+12;01/05/2025;23/06/2025;09:29:01;Geral;"eSocial, REINF CP, REINF
RET, MIT";Original;Ativa;R$ 717.709,76;R$ 717.644,76
CNPJ;7,61569E+12;01/07/2025;08/08/2025;09:55:05;Geral;eSocial;Original;Ativa;R$ 1.521,27;R$ 1.421,60
CNPJ;7,61569E+12;01/05/2025;09/06/2025;09:05:01;Geral;eSocial;Original;Ativa;R$ 1.549,96;R$ 1.549,96
CNPJ;7,56724E+12;01/08/2025;23/09/2025;16:07:51;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 319.817,54;R$ 3.340,07
CNPJ;7,56724E+12;01/07/2025;25/08/2025;13:21:41;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 321.069,35;R$ 4.088,24
CNPJ;7,56724E+12;01/06/2025;22/07/2025;15:12:55;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 293.725,15;R$ 57.138,63
CNPJ;7,56724E+12;01/05/2025;25/06/2025;13:43:45;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 277.408,38;R$ 44.261,28
